CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
C LENNIE TRANSPORT LTD,12307986,,,61 BRIDGE STREET,,KINGTON,,ENGLAND,HR5 3DJ,Private Limited Company,Active,United Kingdom,,11/11/2019,30,11,31/08/2024,30/11/2022,MICRO ENTITY,09/12/2020,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12307986,,,,,,,,,,,,,,,,,,,,,24/11/2023,10/11/2022
C LEONARD CONSULTING LTD,12357716,,,BOWDEN HOUSE,36 NORTHAMPTON ROAD,MARKET HARBOROUGH,LEICESTERSHIRE,UNITED KINGDOM,LE16 9HE,Private Limited Company,Active,United Kingdom,,10/12/2019,31,12,30/09/2024,31/12/2022,MICRO ENTITY,07/01/2021,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/12357716,,,,,,,,,,,,,,,,,,,,,23/12/2023,09/12/2022
C LEVEL EARTH LIMITED,04105851,,,INNOVATION CENTRE,FALMER,BRIGHTON,,ENGLAND,BN1 9SB,Private Limited Company,Active,United Kingdom,,10/11/2000,31,3,31/12/2024,31/03/2023,TOTAL EXEMPTION FULL,08/12/2016,10/11/2015,0,0,0,0,74901 - Environmental consulting activities,,,,0,0,http://business.data.gov.uk/id/company/04105851,28/06/2022,C-LEVEL EARTH LIMITED,04/06/2019,CLEVEL SOLUTIONS LTD,,,,,,,,,,,,,,,,,08/12/2023,24/11/2022
C LEVEL HEALTH LIMITED,11834549,,,44/54 ORSETT ROAD,,GRAYS,ESSEX,ENGLAND,RM17 5ED,Private Limited Company,Active,United Kingdom,,19/02/2019,28,2,30/11/2024,28/02/2023,TOTAL EXEMPTION FULL,18/03/2020,,0,0,0,0,"74909 - Other professional, scientific and technical activities n.e.c.",96040 - Physical well-being activities,,,0,0,http://business.data.gov.uk/id/company/11834549,,,,,,,,,,,,,,,,,,,,,03/03/2024,18/02/2023
C LEVELL LTD,06597697,,,95 SEASIDE ROAD,,EASTBOURNE,EAST SUSSEX,,BN21 3PL,Private Limited Company,Active,United Kingdom,,20/05/2008,31,5,29/02/2024,31/05/2022,MICRO ENTITY,17/06/2017,20/05/2016,1,1,0,0,43390 - Other building completion and finishing,,,,0,0,http://business.data.gov.uk/id/company/06597697,,,,,,,,,,,,,,,,,,,,,03/06/2024,20/05/2023
C LEWIS CONSTRUCTION LTD,10826625,,,22 GELLIWASTAD ROAD,,PONTYPRIDD,,WALES,CF37 2BW,Private Limited Company,Active,United Kingdom,,20/06/2017,29,6,29/03/2024,29/06/2022,MICRO ENTITY,18/07/2018,,0,0,0,0,41202 - Construction of domestic buildings,,,,0,0,http://business.data.gov.uk/id/company/10826625,,,,,,,,,,,,,,,,,,,,,03/07/2024,19/06/2023
C LEWIS GROUNDWORKS LTD,07163759,,,25 STATION ROAD,,HINCKLEY,LEICESTERSHIRE,UNITED KINGDOM,LE10 1AP,Private Limited Company,Active,United Kingdom,,19/02/2010,28,2,30/11/2024,28/02/2023,TOTAL EXEMPTION FULL,19/03/2017,19/02/2016,0,0,0,0,41100 - Development of building projects,,,,0,0,http://business.data.gov.uk/id/company/07163759,,,,,,,,,,,,,,,,,,,,,04/03/2024,19/02/2023
C LIDDLE CONSULTANCY LTD,14457955,,,13 NORTH WESTERN AVENUE,,NORTHAMPTON,,ENGLAND,NN2 8HH,Private Limited Company,Active,United Kingdom,,02/11/2022,30,11,02/08/2024,,NO ACCOUNTS FILED,30/11/2023,,0,0,0,0,93199 - Other sports activities,,,,0,0,http://business.data.gov.uk/id/company/14457955,,,,,,,,,,,,,,,,,,,,,15/11/2023,
C LIDDLE LTD,SC704027,,,27 NORTH BRIDGE STREET,,HAWICK,SCOTTISH BORDERS,UNITED KINGDOM,TD9 9BD,Private Limited Company,Active,United Kingdom,,13/07/2021,31,7,30/04/2024,31/07/2022,TOTAL EXEMPTION FULL,10/08/2022,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/SC704027,,,,,,,,,,,,,,,,,,,,,26/07/2024,12/07/2023
C LIFE ASSURANCE COMPANY LIMITED,AC001442,,,,,,,,,Other company type,Active,United Kingdom,,01/01/1981,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/AC001442,,,,,,,,,,,,,,,,,,,,,15/01/2017,
