dropoff_latitude|dropoff_longitude|DropOffKey|properties.category|properties.addresstype|properties.address.neighbourhood|properties.address.suburb
0.0|0.0|1|man_made|man_made||
0.012427|-73.958755|2|boundary|county||
0.068572998|-73.984779|3|boundary|county||
40.518768|-74.211823|4|building|building|Pleasant Plains|Staten Island
40.540531|-74.177147|5|building|building|Annadale|Staten Island
40.570927|-74.113914|6|building|building|New Dorp|Staten Island
40.570938|-73.860069|7|highway|highway|Neponsit|Queens County
40.57468|-74.116035|8|place|place|New Dorp|Staten Island
40.574848|-74.006134|9|building|building|Sea Gate|Brooklyn
40.575169|-73.96917|10|historic|historic|West Brighton|Brooklyn
40.575912|-73.956558|11|building|building|Brighton Beach|Brooklyn
40.576736|-73.959572|12|building|building|Brighton Beach|Brooklyn
40.577148|-73.957237|13|building|building|Brighton Beach|Brooklyn
40.577541|-73.961899|14|building|building|Brighton Beach|Brooklyn
40.577969|-73.968468|15|building|building|West Brighton|Brooklyn
40.578041|-73.959206|16|amenity|amenity|Brighton Beach|Brooklyn
40.578598|-73.97226|17|building|building|West Brighton|Brooklyn
40.579056|-73.964699|18|building|building|Brighton Beach|Brooklyn
40.580379|-73.971687|19|amenity|amenity|West Brighton|Brooklyn
40.580414|-73.959877|20|building|building|Brighton Beach|Brooklyn
40.580669|-73.976028|21|building|building|West Brighton|Brooklyn
40.58086|-73.967773|22|building|building|West Brighton|Brooklyn
40.581692|-73.954269|23|highway|road|Brighton Beach|Brooklyn
40.581696|-73.839401|24|place|place||Queens
40.585793|-73.81311|25|building|building|Rockaway Beach|Queens
40.588017|-73.966164|26|place|place|Gravesend|Brooklyn
40.588203|-74.090813|27|building|building|Linden-Park|Staten Island
40.590904|-73.937187|28|building|building|Sheepshead Bay|Brooklyn
40.591518|-73.969482|29|building|building|Gravesend|Brooklyn
40.591862|-73.938591|30|place|place|Sheepshead Bay|Brooklyn
40.593048|-73.989922|31|building|building|Bath Beach|Brooklyn
40.594227|-73.754616|32|building|building|Wave Crest|Queens
40.59502|-73.99781|33|highway|road|Bath Beach|Brooklyn
40.596867|-73.907547|34|highway|road||Brooklyn
40.597351|-73.907181|35|highway|road||Brooklyn
40.597538|-74.133934|36|building|building|Willowbrook|Staten Island
40.598186|-73.961121|37|place|place|Gravesend|Brooklyn
40.598293|-73.98793|38|place|place|Bath Beach|Brooklyn
40.598537|-74.005684|39|place|place|Bath Beach|Brooklyn
40.600655|-74.0|40|building|building|Bath Beach|Brooklyn
40.600658|-73.961395|41|building|building|Gravesend|Brooklyn
40.600891|-74.137856|42|building|building|Willowbrook|Staten Island
40.600967|-73.984085|43|building|building|Gravesend|Brooklyn
40.60186|-74.071709|44|building|building|Arrochar|Staten Island
40.602337|-73.968285|45|building|building|Gravesend|Brooklyn
40.603176|-73.95916|46|building|building|Midwood|Brooklyn
40.603603|-73.940529|47|building|building||Brooklyn
40.604053|-73.9916|48|building|building|Bensonhurst|Brooklyn
40.604172|-73.991547|49|building|building|Bensonhurst|Brooklyn
40.604225|-73.950531|50|building|building|Gravesend|Brooklyn
40.604401|-73.9701|51|building|building|Gravesend|Brooklyn
40.606262|-73.97644|52|building|building|Gravesend|Brooklyn
40.6063|-73.744209|53|place|place||Queens
40.606304|-73.976036|54|building|building||Brooklyn
40.606709|-73.750114|55|building|building||Queens
40.606709|-73.743713|56|building|building||Queens
40.606934|-73.947884|57|building|building||Brooklyn
40.607513|-73.95295|58|building|building||Brooklyn
40.608051|-73.980545|59|building|building||Brooklyn
40.608128|-73.929466|60|building|building||Brooklyn
40.608326|-74.022858|61|amenity|amenity|Dyker Heights|Brooklyn
40.60844|-74.004662|62|building|building|Bath Beach|Brooklyn
40.608822|-73.914215|63|building|building||Brooklyn
40.608841|-73.941444|64|building|building||Brooklyn
40.609268|-73.957405|65|building|building|Midwood|Brooklyn
40.609371|-73.953232|66|building|building||Brooklyn
40.609547|-73.960281|67|building|building|Midwood|Brooklyn
40.610001|-74.030685|68|building|building||Brooklyn
40.610977|-73.971298|69|building|building|Gravesend|Brooklyn
40.611164|-74.035049|70|building|building|Fort Hamilton|Brooklyn
40.611183|-74.035042|71|building|building|Fort Hamilton|Brooklyn
40.611198|-73.952438|72|place|place||Brooklyn
40.611446|-73.965576|73|building|building|Gravesend|Brooklyn
40.611767|-73.968422|74|building|building|Midwood|Brooklyn
40.611847|-73.969398|75|building|building|Midwood|Brooklyn
40.612049|-73.908592|76|building|building|Bergen Beach|Brooklyn
40.612625|-74.03154|77|building|building|Fort Hamilton|Brooklyn
40.612892|-73.902237|78|building|building|Bergen Beach|Brooklyn
40.614044|-74.024979|79|amenity|amenity||Brooklyn
40.614422|-74.022873|80|highway|highway||Brooklyn
40.614548|-73.969696|81|place|place|Midwood|Brooklyn
40.614956|-74.03183|82|building|building|Fort Hamilton|Brooklyn
40.615093|-73.99437|83|building|building||Brooklyn
40.615608|-73.915497|84|building|building|Bergen Beach|Brooklyn
40.61657|-73.967659|85|building|building|Gravesend|Brooklyn
40.616669|-74.023125|86|building|building||Brooklyn
40.617168|-73.980759|87|building|building||Brooklyn
40.617336|-74.033569|88|place|place|Fort Hamilton|Brooklyn
40.617706|-73.922798|89|building|building|Paerdegat|Brooklyn
40.617844|-73.931602|90|building|building||Brooklyn
40.618481|-73.984436|91|building|building||Brooklyn
40.61853|-73.954948|92|place|place||Brooklyn
40.618591|-74.094383|93|place|place|Grymes Hill|Staten Island
40.618729|-74.038857|94|building|building|Fort Hamilton|Brooklyn
40.618881|-74.022118|95|building|building||Brooklyn
40.618946|-73.986732|96|building|building||Brooklyn
40.61908|-74.005363|97|highway|highway|Dyker Heights|Brooklyn
40.619312|-74.023842|98|highway|highway||Brooklyn
40.619396|-73.726898|99|craft|craft||
40.619411|-74.033051|100|place|place|Fort Hamilton|Brooklyn
40.619427|-74.008293|101|building|building|Dyker Heights|Brooklyn
40.62035|-74.024361|102|building|building||Brooklyn
40.620464|-73.724892|103|place|place||
40.620514|-74.007256|104|place|place|Dyker Heights|Brooklyn
40.620564|-74.024582|105|place|place|Fort Hamilton|Brooklyn
40.620766|-74.024933|106|building|building|Fort Hamilton|Brooklyn
40.620781|-73.985252|107|building|building||Brooklyn
40.621159|-73.988815|108|building|building||Brooklyn
40.621464|-73.825943|109|highway|road||Queens County
40.622089|-74.016342|110|building|building|Dyker Heights|Brooklyn
40.622131|-74.022575|111|place|place||Brooklyn
40.622589|-73.744484|112|place|place||
40.622829|-73.997734|113|place|place|Bath Beach|Brooklyn
40.622948|-73.959633|114|building|building|Midwood|Brooklyn
40.623123|-73.937485|115|building|building||Brooklyn
40.623131|-74.02816|116|railway|railway|Fort Hamilton|Brooklyn
40.623318|-74.030167|117|building|building|Fort Hamilton|Brooklyn
40.623856|-73.970306|118|highway|road|Midwood|Brooklyn
40.623985|-74.033264|119|highway|highway|Fort Hamilton|Brooklyn
40.624107|-74.027687|120|building|building|Bay Ridge|Brooklyn
40.624138|-73.917992|121|building|building||Brooklyn
40.624317|-73.998764|122|building|building||Brooklyn
40.624676|-74.080498|123|building|building|Stapleton|Staten Island
40.624741|-73.980911|124|building|building|Parkville|Brooklyn
40.625027|-73.940918|125|building|building||Brooklyn
40.625229|-74.005844|126|place|place|Dyker Heights|Brooklyn
40.625332|-74.030251|127|building|building|Fort Hamilton|Brooklyn
40.625671|-74.009064|128|building|building|Dyker Heights|Brooklyn
40.625751|-73.92778|129|place|place|Paerdegat|Brooklyn
40.625847|-73.935509|130|place|place||Brooklyn
40.625874|-74.021187|131|building|building|Bay Ridge|Brooklyn
40.626289|-74.02195|132|building|building|Bay Ridge|Brooklyn
40.62635|-74.015579|133|amenity|amenity|Dyker Heights|Brooklyn
40.626511|-73.811905|134|boundary|suburb||Queens County
40.626728|-73.97068|135|building|building|Parkville|Brooklyn
40.627144|-73.702774|136|building|building||
40.627354|-74.005333|137|building|building|Dyker Heights|Brooklyn
40.627422|-74.020592|138|building|building|Bay Ridge|Brooklyn
40.627613|-73.917305|139|building|building|Paerdegat|Brooklyn
40.628113|-74.027107|140|building|building|Bay Ridge|Brooklyn
40.628651|-74.028931|141|building|building|Bay Ridge|Brooklyn
40.628727|-74.021309|142|building|building|Bay Ridge|Brooklyn
40.629036|-73.965958|143|place|place||Brooklyn
40.629093|-74.018837|144|building|building|Bay Ridge|Brooklyn
40.629192|-73.96936|145|building|building|Parkville|Brooklyn
40.629482|-74.022659|146|highway|highway|Bay Ridge|Brooklyn
40.629566|-74.022728|147|highway|highway|Bay Ridge|Brooklyn
40.629627|-74.125458|148|building|building||Staten Island
40.629726|-73.944389|149|building|building||Brooklyn
40.630062|-74.03138|150|building|building|Fort Hamilton|Brooklyn
40.630219|-73.960297|151|building|building||Brooklyn
40.630337|-74.029701|152|building|building|Bay Ridge|Brooklyn
40.630337|-73.810707|153|boundary|suburb||Queens County
40.631248|-73.976227|154|building|building|Parkville|Brooklyn
40.631332|-74.027229|155|building|building|Bay Ridge|Brooklyn
40.631588|-73.88987|156|building|building||Brooklyn
40.631741|-74.0196|157|building|building|Bay Ridge|Brooklyn
40.63195|-73.94294|158|building|building|Brooklyn Community District 17|Brooklyn
40.631966|-73.977379|159|building|building|Parkville|Brooklyn
40.631989|-73.810959|160|boundary|suburb||Queens County
40.632088|-73.969032|161|building|building|Parkville|Brooklyn
40.632107|-74.01313|162|amenity|amenity|Dyker Heights|Brooklyn
40.63232|-73.980019|163|place|place|Parkville|Brooklyn
40.632504|-74.021217|164|building|building|Bay Ridge|Brooklyn
40.632687|-73.966698|165|building|building||Brooklyn
40.632751|-73.888336|166|building|building||Brooklyn
40.632843|-73.96096|167|building|building||Brooklyn
40.633404|-73.986649|168|building|building|Parkville|Brooklyn
40.633629|-74.029861|169|amenity|amenity|Bay Ridge|Brooklyn
40.633686|-74.023804|170|building|building|Bay Ridge|Brooklyn
40.633812|-74.02681|171|highway|highway|Bay Ridge|Brooklyn
40.634041|-73.982414|172|building|building|Parkville|Brooklyn
40.634117|-73.967377|173|building|building||Brooklyn
40.634144|-73.945259|174|highway|highway|Brooklyn Community District 17|Brooklyn
40.634315|-73.985626|175|building|building|Parkville|Brooklyn
40.634434|-73.962296|176|highway|highway||Brooklyn
40.634872|-74.022095|177|building|building|Bay Ridge|Brooklyn
40.635426|-74.016762|178|highway|road|Sunset Park|Brooklyn
40.635513|-74.020012|179|leisure|leisure|Bay Ridge|Brooklyn
40.635635|-74.03199|180|building|building|Bay Ridge|Brooklyn
40.635647|-73.909676|181|building|building|Paerdegat|Brooklyn
40.635777|-73.954178|182|place|place||Brooklyn
40.636108|-73.976067|183|place|place|Windsor Terrace|Brooklyn
40.636261|-73.948174|184|place|place||Brooklyn
40.636623|-73.99044|185|building|building|Borough Park|Brooklyn
40.636627|-73.885254|186|place|place||Brooklyn
