pickup_latitude|pickup_longitude|PickUpKey|properties.category|properties.addresstype|properties.address.neighbourhood|properties.address.suburb
0.0|0.0|1|man_made|man_made||
40.581001|-73.964058|2|building|building|Brighton Beach|Brooklyn
40.584637|-73.96666|3|highway|road|Gravesend|Brooklyn
40.591042|-73.965469|4|place|place|Gravesend|Brooklyn
40.59893|-73.954796|5|building|building|Gravesend|Brooklyn
40.610916|-73.962578|6|building|building||Brooklyn
40.628521|-74.028877|7|place|place|Bay Ridge|Brooklyn
40.629993|-73.809799|8|boundary|suburb||Queens County
40.630596|-73.935867|9|building|building||Brooklyn
40.630829|-73.966484|10|building|building||Brooklyn
40.631073|-73.811562|11|boundary|suburb||Queens County
40.631966|-73.977379|12|building|building|Parkville|Brooklyn
40.632156|-73.966751|13|place|place||Brooklyn
40.632652|-73.966721|14|building|building||Brooklyn
40.63353|-73.96711|15|building|building||Brooklyn
40.63438|-73.967316|16|place|place||Brooklyn
40.635536|-74.019867|17|leisure|leisure|Bay Ridge|Brooklyn
40.636108|-73.976067|18|place|place|Windsor Terrace|Brooklyn
40.63678|-73.972771|19|highway|road|Parkville|Brooklyn
40.637089|-74.025421|20|place|place|Bay Ridge|Brooklyn
40.638012|-73.783684|21|aeroway|aeroway||Queens
40.638844|-73.968613|22|building|building||Brooklyn
40.638866|-73.785904|23|aeroway|aeroway||Queens
40.639114|-73.786469|24|aeroway|aeroway||Queens
40.639229|-73.786591|25|aeroway|aeroway||Queens
40.639332|-73.786186|26|aeroway|aeroway||Queens
40.639729|-74.019501|27|place|place|Sunset Park|Brooklyn
40.639954|-73.786789|28|aeroway|aeroway||Queens
40.64006|-73.786194|29|aeroway|aeroway||Queens
40.641064|-73.786629|30|aeroway|aeroway||Queens
40.64109|-73.788933|31|aeroway|aeroway||Queens
40.641113|-73.786774|32|aeroway|aeroway||Queens
40.641228|-73.786972|33|highway|road||Queens
40.641232|-73.788895|34|aeroway|aeroway||Queens
40.641281|-73.7883|35|aeroway|aeroway||Queens
40.641304|-73.786507|36|aeroway|aeroway||Queens
40.641346|-73.786392|37|aeroway|aeroway||Queens
40.641369|-73.784431|38|aeroway|aeroway||Queens
40.641403|-73.786118|39|highway|road||Queens
40.641415|-73.786217|40|aeroway|aeroway||Queens
40.641434|-73.787956|41|highway|road||Queens
40.641441|-73.7882|42|highway|highway||Queens
